,time,lat,lon,observation_T,Doppio_T,GoMOLFs_T,FVCOM_T,Clim_T,difference
609,2019-07-06 16:42:00,42.84314000000001,-70.61046,4.99,5.912090153058671,6.6704111595634,6.060151100158691,5.4969,-1.0701511001586912
610,2019-07-07 12:57:00,42.82375,-70.61874,5.19,5.649064926739412,6.639121109474787,6.18726921081543,5.4741,-0.9972692108154293
611,2019-07-07 16:58:00,42.79861,-70.6084,5.39,5.836799700185964,6.6408912326929785,6.243847370147705,5.4741,-0.8538473701477054
612,2019-07-08 09:52:19,42.7601,-70.2748,6.04,5.749493387794673,6.681076504535043,5.9551143646240225,5.2176,0.08488563537597749
613,2019-07-08 10:48:00,41.04575,-71.31228,9.86,9.46354313203665,8.670861609711494,11.79181957244873,9.0002,-1.931819572448731
614,2019-07-08 11:30:57,42.7635,-70.282,6.12,5.745663987979839,6.719689235235535,6.056771755218506,5.694,0.06322824478149425
615,2019-07-08 12:04:00,42.79919,-70.51566,4.94,5.833472046003563,6.252902440722637,6.014993190765381,5.3624,-1.0749931907653805
616,2019-07-08 12:11:00,41.074220000000004,-71.30623,9.86,9.71054255444512,9.004811067296174,12.291986465454102,9.0002,-2.431986465454102
617,2019-07-08 13:34:00,41.04619,-71.3096,9.84,9.51276396845862,8.701327961294112,11.83881664276123,9.0002,-1.9988166427612306
618,2019-07-08 13:50:00,42.728809999999996,-70.40406,5.25,5.921172844775037,6.50568369104046,6.2905006408691415,5.1542,-1.0405006408691415
619,2019-07-08 14:08:00,42.785090000000004,-70.55004,4.94,5.872701880403169,6.4612844845052,6.0980095863342285,5.4724,-1.1580095863342281
620,2019-07-08 15:00:00,41.07513,-71.30627,9.81,9.714782043992358,9.095615551272175,12.248014450073242,8.5969,-2.4380144500732417
621,2019-07-08 16:21:00,41.04692,-71.31114000000002,9.8,9.484577944405368,8.830739517972972,11.769905090332033,9.0002,-1.9699050903320323
622,2019-07-08 16:43:00,42.82587,-70.60516,5.05,5.5036767492175045,6.598179834084476,6.172042846679688,5.5471,-1.1220428466796886
623,2019-07-08 18:31:00,41.07563,-71.30457,9.81,9.693961058336695,9.170500784279485,12.19383430480957,8.5969,-2.38383430480957
624,2019-07-09 10:21:00,42.69393,-70.29293,5.64,5.8693868940954355,6.612864109579903,6.203298091888428,5.1545,-0.563298091888428
625,2019-07-09 10:54:00,41.04655,-71.3035,9.65,9.60610827190328,9.040380930656738,11.842025756835938,9.0224,-2.192025756835937
626,2019-07-09 12:05:00,42.81666,-70.56132,5.07,5.6553381597023815,6.3055267369854855,5.970541000366211,5.4966,-0.9005410003662107
627,2019-07-09 12:18:00,41.074020000000004,-71.30539,9.61,9.883295969118564,9.275167150340108,12.291939735412598,9.0224,-2.6819397354125982
628,2019-07-09 12:55:00,42.69314,-70.29252,5.69,5.843454069596069,6.617131192753185,6.216583251953125,5.1545,-0.5265832519531246
629,2019-07-09 14:27:00,42.82976,-70.56076999999998,4.79,5.6143128188467415,6.273200416327086,5.925415515899657,5.4979,-1.1354155158996573
630,2019-07-09 14:49:00,42.705040000000004,-70.31175,6.16,5.85140035268671,6.6869199516950175,6.134945392608643,5.1545,0.025054607391357564
631,2019-07-09 15:38:00,41.04653,-71.30968,9.59,9.629917064990336,9.02815830076804,11.818378448486328,9.0224,-2.2283784484863283
632,2019-07-09 16:55:00,41.07467000000001,-71.30705999999998,9.48,9.853433541507002,9.308025005937084,12.18222427368164,9.0224,-2.70222427368164
633,2019-07-09 19:29:00,41.04809,-71.31175999999998,9.39,9.604503376779036,9.119382149518486,11.702661514282227,9.0224,-2.312661514282226
634,2019-07-09 20:58:00,41.07522,-71.30417,9.31,9.846260911879341,9.391675124191211,12.111244201660154,8.6205,-2.801244201660154
635,2019-07-10 08:36:00,42.76824000000001,-70.25534,6.0,5.7781444516801335,6.767830147894415,5.808159828186035,5.2293,0.19184017181396484
636,2019-07-10 09:39:00,42.7503,-70.29334,6.07,5.746094218976027,6.830851846026661,6.141167640686035,5.7322,-0.07116764068603487
637,2019-07-10 11:02:00,42.75768,-70.28152,5.8,5.7280353305718,6.802718012822652,5.94711446762085,5.7322,-0.1471144676208498
638,2019-07-10 12:10:00,42.85091,-70.54105,4.88,5.610731746613594,6.309332336868692,5.789112091064452,5.5201,-0.9091120910644523
639,2019-07-10 14:17:00,42.68872,-70.31531,5.72,5.751436823860175,6.661264840787113,6.222257614135742,5.1615,-0.5022576141357424
640,2019-07-10 14:33:00,42.82069,-70.53482,4.95,5.644276726532439,6.231646673314343,5.909335613250732,5.5205,-0.9593356132507322
641,2019-07-10 16:53:00,42.80269000000001,-70.57699000000002,4.8,5.571224218154782,6.491809368434616,6.120577335357666,5.5466,-1.3205773353576662
642,2019-07-11 10:12:00,42.76658,-70.28096,5.9,5.6223819150087735,6.887974718092213,6.087392807006836,5.7515,-0.18739280700683558
643,2019-07-11 10:52:00,41.05145,-71.30769000000002,9.53,9.788639553379426,9.009978344868216,11.564032554626465,9.0686,-2.0340325546264655
644,2019-07-11 11:21:31,42.7579,-70.2893,6.33,5.650186400719192,6.887584176192164,6.08772087097168,5.7515,0.24227912902832038
645,2019-07-11 12:12:00,42.8478,-70.55993000000002,4.91,5.54146649303047,6.397551961684768,5.935848712921143,5.542000000000002,-1.0258487129211424
646,2019-07-11 12:55:00,42.78369,-70.33041999999999,6.02,5.597142998050174,6.793111107249075,6.037761688232423,5.2263,-0.01776168823242319
647,2019-07-11 13:24:00,41.04823,-71.30929,9.52,9.764203694166156,8.897753238490507,11.567863464355467,9.0686,-2.0478634643554674
648,2019-07-11 14:32:00,42.85796,-70.51684,4.88,5.631547206765403,6.3068014433807775,5.858683109283447,5.4459,-0.9786831092834474
649,2019-07-11 14:40:00,42.7874,-70.41796,5.14,5.721182776659853,6.304678533079668,6.033492565155028,5.2073,-0.8934925651550287
650,2019-07-11 14:43:00,41.07459,-71.30685,9.57,10.072166085613503,9.252085056380594,11.936552047729492,9.0686,-2.366552047729492
651,2019-07-11 16:04:00,41.04707,-71.30683,9.58,9.782137119871294,8.88703779526989,11.647303581237793,9.0686,-2.067303581237793
